description,price/TB,idle,noise
"Western Digital Ultrastar DC HC520 12TB, SE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUH721212ALN604 / 0F30143 - - - €333.03",27.75,5.3,20
"Western Digital WD Gold 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD121KRYZ - - - €333.73",27.81,5,20
"Toshiba Enterprise Capacity MG06ACA 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG06ACA10TE - - - €278.28",27.83,7.3,34
"Toshiba N300 NAS Systems 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG460UZSVA - - - €167.11",27.85,4.93,31
"Western Digital Ultrastar DC HC320 8TB, SE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUS728T8TAL4204 / 0B36399 - - - €223.28",27.91,8.4,29
"Western Digital WD Red Plus 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD40EFPX - - - €111.88",27.97,3.1,23
"Western Digital WD Red Pro 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD121KFBX - - - €335.8",27.98,2.8,20
"Western Digital WD Purple Pro 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8002PURP - - - €223.89",27.99,6.5,29
"Western Digital WD Gold 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD102KRYZ - - - €280.49",28.05,8,34
"Seagate IronWolf Pro NAS HDD +Rescue 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST16000NE000 - - - €448.82",28.05,5,20
